HARMFUL_SK,HARMFUL_DESCRIPTIONS,HARMFUL_CODES
ce106a7a977696cbeb760cf9ea276bfa,GUARDRAIL END;DITCH;SHRUBBERY,1;25;34;41
70b03d79bbb754589dbb2700aa4371f7,LUMINAIRE/LIGHT SUPPORT;Ran Off Road-Left;Cross Center Line,29;64;68
9261bf0d37425da2653e8814a295b3b6,UTILITY POLE;CURB;FENCE;FIRE HYDRANT;Ran Off Road-Right,30;33;38;47;63
b5829a6139a8d3dc442848964e752500,OTHER ANIMAL;UTILITY POLE,11;30
67ca9940b79caa73003f19901e18b8da,MOTOR VEHICLE IN TRANSPORT;LUMINAIRE/LIGHT SUPPORT;Ran Off Road-Right,12;29;63
b70d7a802627af92fe8f47460f065db8,GUARDRAIL FACE;CONCRETE TRAFFIC BARRIER;PEDESTRIAN,24;36;8
066c0ab097c20c61300d01f08fbabe6d,OTHER OBJECT (NOT FIXED);H-WAY TRAFFIC SIGNAL POST;Ran Off Road-Left,1;18;27;64
f964b0759d14853930ea59a476e3b7aa,CULVERT;FENCE;MAIL BOX;SHRUBBERY,32;38;40;41
d22eb2ddb848c5c3db66115aab559a51,MOTOR VEHICLE IN TRANSPORT;OTHER POST; POLE; SUPP.;EMBANKMENT ROCK/STONE/CONCRETE,1;12;31;72
c8bf7340c229350c1cbee4a8a963ad36,Motor Vehicle-In-Motion Outside Trafficw,55;7
a578f8761c7126c488236ef02e5d58fe,OTHER FIXED OBJECTS;UNKNOWN MOST HARMFUL EVENT,43;99
dc5b47773d9db262b0a0fb45ae53d623,H-WAY TRAFFIC SIGNAL POST;SHRUBBERY,27;41
a935c2988e397a9da507095fbae57722,CURB;Ran Off Road-Right,33;63;7
8de367fba83bb892c9783b68dbe43591,LUMINAIRE/LIGHT SUPPORT,1;2;29
a940ac34dda6cd1c4c632de36cdd26c4,OTHER POST; POLE; SUPP.;CULVERT;DITCH,31;32;34
375261edeec617d518768de7ee0aef5b,MOTOR VEHICLE IN TRANSPORT;Motor Vehicle-In-Motion Outside Trafficw;Separation Of Units,12;55;62
f2a09de3d8bb5418d766d8694c92b4fc,PARKED MOTOR VEHICLE;BUILDING;UTILITY POLE;WALL;Motor Vehicle-In-Motion Outside Trafficw,14;19;30;39;55
f379f971c0742653f3331fbd8d7040c1,UTILITY POLE;PEDESTRIAN,30;8
6d00aa2de045bc1bd2872a00c1591fd5,OTHER OBJECT (NOT FIXED);LUMINAIRE/LIGHT SUPPORT;CURB,18;29;33
729421ed76dd4164ea8904b9429ae2b1,H-WAY TRAFFIC SIGNAL POST;UTILITY POLE;FIRE HYDRANT;EMBANKMENT EARTH,27;30;47;71
f84320ff767b3f63a6f8b8d046588480,PARKED MOTOR VEHICLE;BUILDING;CURB,14;19;33
a817e0d7c8c4585fa498ca6f15e7b86f,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;WALL,12;14;39
e877b9e92fac281669f80ea5513092d2,MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Right;Ran Off Road-Left,12;63;64
38fc6eee8fe7224d7e8a4e51b4a0cb70,MAIL BOX;TRAFFIC SIGNAL SUPPORT,40;46
aa1397f874962914be35c9611db1a3e3,PARKED MOTOR VEHICLE;CURB;FIRE HYDRANT,14;33;47
37615dd75dbf94b5c63cbf8e6eeb90fb,EMBANKMENT ROCK/STONE/CONCRETE,1;7;72
745200677f4d40b0d45fa978c9187e36,PARKED MOTOR VEHICLE;UTILITY POLE;TREE;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Left;Cross Center Line,14;30;42;55;64;68
7c895785c60791b8f1ba89b59e8ccc32,UTILITY POLE;CONCRETE TRAFFIC BARRIER,30;36
6c5c2f959c0b8ad412f9645a9e68f9de,PARKED MOTOR VEHICLE;CURB;Ran Off Road-Right,14;33;63
15dd092b27957173e44b8c26924bf3e0,BUILDING;UNKNOWN MOST HARMFUL EVENT,19;99
a514f79b3dc5107e54681649a60684ad,MOTOR VEHICLE IN TRANSPORT;UNKNOWN MOST HARMFUL EVENT,12;6;99
0a27fcc5828f5483bb8b944eb8b8aa40,PARKED MOTOR VEHICLE;LUMINAIRE/LIGHT SUPPORT;UTILITY POLE;OTHER POST; POLE; SUPP.,14;29;30;31
063951f852bc90f221b0c91ea9a027e2,THROWN OR FALLING OBJECT;UTILITY POLE;Cable Barrier,16;30;57
20ae9bc525fe49369f852ac480c701ae,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;Cross Center Line,12;24;68
7e36f5bfb2ec33567677dc3fc55bcbb0,MOTOR VEHICLE IN TRANSPORT;BUILDING;Ran Off Road-Right,12;19;63
534a80b79066cabc44610053a4663658,PARKED MOTOR VEHICLE;SHRUBBERY,14;41
5cf0a6196c023f235e5c29dfca847f57,MOTOR VEHICLE IN TRANSPORT;MAIL BOX;Ran Off Road-Right;Ran Off Road-Left;Cross Center Line;EMBANKMENT EARTH,12;40;63;64;68;71
07760fabaa897ebc4f2b15f783eb1e55,Bridge/Overhead Structure,1;75
4b2997f52ae96699c78d4047af091a1c,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;BUILDING;CURB;Ran Off Road-Right,12;14;19;33;63
26cdf9dc860cce41fb8a4de3546915e9,CULVERT;MAIL BOX;TRAFFIC SIGNAL SUPPORT,32;40;46
ea5ec01a13900ede6198448d1cbc6c93,PARKED MOTOR VEHICLE;Ran Off Road-Left,14;64
741810f4b14b07d71d7415ec1f38dd89,OVERHEAD SIGN SUPPORT;Ran Off Road-Left;Cross Center Line,28;64;68
ac7f526e0297b3633be21b32b612092a,MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Left;EMBANKMENT EARTH,12;64;71
b9adda49529ceb7e4fdf2c15e23824ef,BRIDGE RAIL;LUMINAIRE/LIGHT SUPPORT,23;29
881ec944271c80ae47093983e362baaa,OTHER ANIMAL;DITCH;OTHER FIXED OBJECTS,11;34;43
331be0499bd190021184b49577261925,MAIL BOX;Motor Vehicle-In-Motion Outside Trafficw;EMBANKMENT ROCK/STONE/CONCRETE,40;55;72
c0ae9e4480a8a87f3492011fb31ec9b2,MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED);SHRUBBERY;Ran Off Road-Right,12;18;41;63
ac57c241ae25f0d11df657a1d80b0fd7,UNKNOWN,1;4
328536bb100ea8cd91ba4aace17d526d,RAILWAY TRAIN;GUARDRAIL FACE,10;24
abd6d68db0af126820f24d9eaf2e4bd7,CULVERT,2;32
11933b6300e5f0ad8bd66abdfc7ed14b,PARKED MOTOR VEHICLE;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Right,1;14;55;63
e4623f6945c95497c0f88453811e4b67,TREE;Ran Off Road-Left;EMBANKMENT MATERIAL UNKNOWN,1;42;64;73
208aca65805bb0b1a504daa38c3fb59d,FENCE;TREE;Ran Off Road-Left,38;42;64
3a4776075e4236b606fc23eee6d0dbb5,CURB;SHRUBBERY;TREE;Ran Off Road-Left;Cross Center Line,33;41;42;64;68
306f0c201d8c4f018761b1098235f48a,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;MAIL BOX;Set In Motion By Motor Vehicle;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Right;EMBANKMENT EARTH,12;14;40;54;55;63;71
441c39418c46cdca45c16e6dca62c6d7,MOTOR VEHICLE IN TRANSPORT;TREE,1;12;2;42
d9a3cd4cfc95acd4920b0ed8ebd84e9c,CURB;DITCH;DEER (ANIMAL);Ran Off Road-Right,33;34;50;63
023eb684332235ac6c95c131f4149d12,GUARDRAIL FACE;GUARDRAIL END;Ran Off Road-Right;EMBANKMENT ROCK/STONE/CONCRETE,24;25;63;72
f0dcc250e87adb4ce31cbe3aa8926fea,MOTOR VEHICLE IN TRANSPORT;DITCH;Ran Off Road-Right;Cross Center Line,12;34;63;68;7
c4ade3c1c66f59e77babe2085a31a0fa,OTHER OBJECT (NOT FIXED);BUILDING;MAIL BOX;TREE,18;19;40;42
5ef3e564e170ec98f5f24bc51d9a754a,UTILITY POLE;SHRUBBERY;TREE,1;30;41;42
d38886a58861f2efb2bfedb567057b29,FENCE;Ran Off Road-Left,2;38;64
85bec1022b52e01db934d351134309c1,UNKNOWN,6;7
911dfa7f1f1a23eede537e6dee707810,H-WAY TRAFFIC SIGNAL POST;DITCH;CONCRETE TRAFFIC BARRIER;Ran Off Road-Left;Cross Median,27;34;36;64;65
a364f5364d164f81cdab05a9e31b6d8e,OTHER FIXED OBJECTS;Set In Motion By Motor Vehicle;Motor Vehicle-In-Motion Outside Trafficw,43;54;55
c2efa397228872d7e8f2cbe20bdccaaa,Ran Off Road-Right;Vehicle Airborne,1;63;67
6a003fe0955d7135c6856533ed02abea,GUARDRAIL END;Ran Off Road-Right,25;63;7
9743607557c4a41b22dcbbf2c53220c5,BRIDGE PIER/ABUTMENT;H-WAY TRAFFIC SIGNAL POST;CURB,21;27;33
72960be05577b7cc3b3570d0c1e3e05e,CURB;FIRE HYDRANT;Cross Center Line,33;47;68;7
dd979b8ace2d3fc15051d4e4e3d64855,TREE;Ran Off Road-Right;EMBANKMENT EARTH,42;63;71
965c4879d32a49acb48da8bfb74afd76,OTHER POST; POLE; SUPP.;CURB;OTHER FIXED OBJECTS;EMBANKMENT EARTH,31;33;43;71
3c094bf8e5dfc51abeff612ef3afc4fe,MAIL BOX;TREE;Ran Off Road-Left,40;42;64
124e5dbf2676229c1c579cfcbec7a830,MOTOR VEHICLE IN TRANSPORT;THROWN OR FALLING OBJECT;UTILITY POLE,1;12;16;30
4f003666ff1ada0bea6bb90a818408d0,IMPACT ATTENUATOR;GUARDRAIL FACE,20;24
c2c194e151d565a540ebeb456f24d034,MOTOR VEHICLE IN TRANSPORT;Set In Motion By Motor Vehicle;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Left,12;54;55;6;64
29fcf91fa455355608b2fac63784b5ca,TREE;Ran Off Road-Right;Ran Off Road-Left;Cross Center Line,42;63;64;68
f7d25eea7b751443292ceb99f8987d57,PARKED MOTOR VEHICLE;BUILDING;GUARDRAIL FACE;MAIL BOX;Set In Motion By Motor Vehicle;Motor Vehicle-In-Motion Outside Trafficw;Vehicle Airborne,14;19;24;40;54;55;67
451c7831e5b61740251c563498bdae3e,DITCH;WALL,2;34;39
256f43b3fae5e55cc63c3edb29d2331e,OTHER POST; POLE; SUPP.;FIRE HYDRANT,31;47
83df5c4b3b62d6d600625161d11dcf7a,CONCRETE TRAFFIC BARRIER;Separation Of Units,36;62
36402e937adbf75824b88b2701059380,BUILDING;Motor Vehicle-In-Motion Outside Trafficw,19;55
90c5d3d16c5f8f66768960c76fbbe1db,UTILITY POLE;CURB;FIRE HYDRANT;UNKNOWN MOST HARMFUL EVENT,30;33;47;99
b783d1d444c03e8e42cfbe797f61905d,PARKED MOTOR VEHICLE;TREE,14;42
793456216febfb0998094903c88d3003,THROWN OR FALLING OBJECT;UNKNOWN MOST HARMFUL EVENT,16;99
36d26c4587c2611c8049f431a348f8d1,PARKED MOTOR VEHICLE;MAIL BOX;TREE;Motor Vehicle-In-Motion Outside Trafficw,14;40;42;55
38bd22d6b8623155c1de90bfb8e4b78e,MOTOR VEHICLE IN TRANSPORT;Ran Off Road-Right;EMBANKMENT EARTH,1;12;63;71
64ef8710da61e310761963491749c043,CURB;SHRUBBERY;Ran Off Road-Right,1;33;41;63;7
51c1fdf7e28bc2b34e28fe1a32c7163b,BOULDER;BUILDING;UTILITY POLE;OTHER FIXED OBJECTS;Ran Off Road-Right,17;19;30;43;63
c578800267ea7f48b78b2ef2ebb5382b,CONCRETE TRAFFIC BARRIER;Ran Off Road-Left,36;64;7
d7dc85292aa8bdd85a2855dca0f31707,PAVED SURFACE-IRREGULAR,1;44
ee4b31c8078880192e57e6fcd7212081,MOTOR VEHICLE IN TRANSPORT;TRAFFIC SIGNAL SUPPORT,12;46;6
279851ebe3336d09707df400ab1fc661,UTILITY POLE;DITCH;MAIL BOX;Ran Off Road-Left,30;34;40;64;7
5829d80c61ff5317ca6c5736327a189f,H-WAY TRAFFIC SIGNAL POST;CURB;Ran Off Road-Right,27;33;63
a7207bdea8d03105c4092f53ee210675,MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;OTHER FIXED OBJECTS,12;13;43
7cea418f678ec289cbed5453a30ceed0,BUILDING;UTILITY POLE;FENCE;Set In Motion By Motor Vehicle,19;30;38;54
368da34ebc9ec303e63f845786a75093,DITCH;SHRUBBERY;Ran Off Road-Right,1;34;41;63
a18c4f1aeabe6f43a9b5ea85b30b8425,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;IMPACT ATTENUATOR,12;14;20
408b22325c30bf2236ace9430a4fdbac,Ran Off Road-Left;UNKNOWN MOST HARMFUL EVENT,1;64;99
4d8e0d2e7aff18a37cbcc52574abe4a1,DITCH;WALL;Ran Off Road-Right;Ran Off Road-Left,34;39;63;64
2dc78bb4a177a81c3656dcd8dff91bf2,OTHER POST; POLE; SUPP.;Ran Off Road-Right;EMBANKMENT EARTH,31;63;71
0fb3cb5604a3747723b4071dda5fe85a,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;IMPACT ATTENUATOR,13;20
9b70f379a292081ee3c29e47097baf25,MAIL BOX;UNKNOWN MOST HARMFUL EVENT,40;7;99
9b6ebd02724b85d689f79882afbcd3c0,THROWN OR FALLING OBJECT;Equip Failure;UNKNOWN MOST HARMFUL EVENT,16;61;99
dc378ee50ae03f9e384573daf31e9237,DITCH;Other Traffic Barrier,34;37
5754e093c2589ac385416838deba4f37,UTILITY POLE;CULVERT;TREE;Ran Off Road-Right;Ran Off Road-Left,30;32;42;63;64
f9197ab2ef4ff5cbc357e4432db7909a,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;OTHER OBJECT (NOT FIXED);MAIL BOX;Ran Off Road-Left,12;14;18;40;64
24720ccefabf99d36a77cef32bd157c2,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,12;14;7
f87ee34f45566f45157367ee3b25a4a2,UTILITY POLE;Ran Off Road-Right;EMBANKMENT EARTH,30;63;7;71
78221cd3eabc18611fa03be8c4118c74,BRIDGE RAIL;Motor Vehicle-In-Motion Outside Trafficw;UNKNOWN MOST HARMFUL EVENT,23;55;99
50cdaf5092532d19b9335f4885354816,LUMINAIRE/LIGHT SUPPORT;Ran Off Road-Left,29;64;7
34469de41de784eb354a004efa285c9c,OTHER FIXED OBJECTS;EMBANKMENT ROCK/STONE/CONCRETE,43;72
a538533c4404963a1a35b20ad14b5990,TREE;Equip Failure;Ran Off Road-Left,42;61;64
2e910717377e5f2c50deefc9658b217f,MOTOR VEHICLE IN TRANSPORT;TREE,12;2;42
3b8f68ae35a0ddd3d2afed4aa2422f79,OTHER POST; POLE; SUPP.;Other Traffic Barrier;Ran Off Road-Left,1;31;37;64
73ab62b3e4e6041b993b93811cc47f0f,OTHER POST; POLE; SUPP.;DITCH;Ran Off Road-Left,31;34;64
3ac530adba736026edac70cd127f8ecf,BRIDGE RAIL;Vehicle Airborne,23;67
1651e0efd034b4a4217f885fa80fddb3,OTHER TYPE NON-MOTORIST;Motor Vehicle-In-Motion Outside Trafficw,15;55;7
218deb31323e121b64044a615bd4d2c0,PARKED MOTOR VEHICLE;BUILDING;Set In Motion By Motor Vehicle,14;19;54
0846410db6f914af53ee9b5b6b5df450,PARKED MOTOR VEHICLE;UNKNOWN MOST HARMFUL EVENT,1;14;7;99
3ee711ac01830ebe35bf34ade816baca,UTILITY POLE;Ran Off Road-Right;Vehicle Airborne,1;30;63;67
dbd690c034d2be1040f5aa01fcce6d7f,MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER;Set In Motion By Motor Vehicle;Ran Off Road-Right,12;36;54;63
adbb505a4abf428f92802446140e7ca8,OTHER POST; POLE; SUPP.;TREE;Ran Off Road-Left,31;42;64
246abff94a4540fa448cce0d67ba5cc4,OTHER POST; POLE; SUPP.;CULVERT;MAIL BOX;OTHER FIXED OBJECTS;Ran Off Road-Right,31;32;40;43;63
04aa1eeed8f4dbb7affcada9e90a0d55,MAIL BOX;Ran Off Road-Right;EMBANKMENT ROCK/STONE/CONCRETE,40;63;72
e76a156d36a45e5dd0af5692dfd216c2,UTILITY POLE;OTHER POST; POLE; SUPP.;DITCH;Ran Off Road-Right;Vehicle Airborne;EMBANKMENT ROCK/STONE/CONCRETE,30;31;34;63;67;72
71cb901747c4bba90d7a07f2be08ae46,BOULDER;UTILITY POLE,17;30
e46ce3a936a8b7725137588368e98f96,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;Cross Median,12;14;65
46949529aec106af4da5aec18766abeb,CURB;PAVED SURFACE-IRREGULAR,33;44
c5fd2997ae4b25904e91070dfc64d5a9,LUMINAIRE/LIGHT SUPPORT;CURB;DITCH;CONCRETE TRAFFIC BARRIER;TREE;Ran Off Road-Right,29;33;34;36;42;63
8e3761bb061095b7e1ae4443cd1262a5,OTHER OBJECT (NOT FIXED);UTILITY POLE;FENCE;MAIL BOX,18;30;38;40
7c694dad41fa573051c9239fe3f3f8b0,FENCE;Vehicle Airborne,38;67
a8a143da2c62c3bf3b71633e9e1401f2,LUMINAIRE/LIGHT SUPPORT;Ran Off Road-Right,1;29;63
14bdf01cf7b8a6f7e75b702c991980cf,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;WALL;Ran Off Road-Left,12;24;39;64
0e63d86fb477bdcfd70e98c49dc17de5,OVERHEAD SIGN SUPPORT;OTHER POST; POLE; SUPP.;Ran Off Road-Right,28;31;63
d770f16d02fe3d653c22f2eb1a83a3b9,GUARDRAIL FACE;Cable Barrier,24;57
65a6bdd4133d4c012538c3f35374e7f3,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;FENCE,12;24;38
7e4e6acb9f817534da7f2f0523e1cb31,H-WAY TRAFFIC SIGNAL POST,1;27
757ff40d2727d40990212f18fa7f138c,Ran Off Road-Right;Vehicle Airborne,63;67;7
d9092b77b81228141ac233b8cf81ec9a,CURB;EMBANKMENT EARTH,33;7;71
d4a88ecceedcdd288c7f20396b912a12,OTHER OBJECT (NOT FIXED);BUILDING;CURB,18;19;33
4a8cdb60ce8a7ebe4f4b2ea38f34e45b,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE;LUMINAIRE/LIGHT SUPPORT;OTHER POST; POLE; SUPP.,13;14;29;31
7083e6b178463f3a1ee4d2c14589d2da,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;GUARDRAIL FACE,13;24
4d932f74ca46ef62d8472ec459a67757,SHRUBBERY;TREE;FIRE HYDRANT,41;42;47
e23d33458dc22b7d431e96fdd685b545,GUARDRAIL FACE;GUARDRAIL END;OTHER POST; POLE; SUPP.;Ran Off Road-Left,24;25;31;4;64
0140ab1ac507e737a5646c2566a38b91,BUILDING;OTHER POST; POLE; SUPP.;CURB;Ran Off Road-Left,19;31;33;64
e06115eff06be5a341fa910100ffcb74,PARKED MOTOR VEHICLE;OTHER POST; POLE; SUPP.;EMBANKMENT ROCK/STONE/CONCRETE,1;14;31;72
b2df8007f5c50c47331f510b5db14266,MOTOR VEHICLE IN TRANSPORT;DITCH;FENCE;Ran Off Road-Right,12;34;38;63
2b00d76e6d0ec10d09a8c915f0799a09,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE,12;2;24
229fba67c55468dd8d717a84319ca92b,PARKED MOTOR VEHICLE;FIRE HYDRANT;Ran Off Road-Right,14;47;63
d991a1c1771c2f9b0ff1d378d7c7c3d6,UTILITY POLE;CULVERT;WALL;OTHER FIXED OBJECTS;Ran Off Road-Left,30;32;39;43;64
eddd5a0fe8925943c0fec6bb08631dd0,Down Hill-Run Away,66;7
2eadd560c587453556abfd483fbe3a20,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;MAIL BOX;Cross Center Line,12;14;40;68
7cc5ae690ea763f937d58b2c73305df6,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;Ran Off Road-Left,1;13;64
e84bd1e3474318685da925acc229d6bb,GUARDRAIL FACE;UTILITY POLE;MAIL BOX;SHRUBBERY,24;30;40;41
d7ce393d8b7f5035185c23d0614ac85e,UTILITY POLE;FENCE;Ran Off Road-Right,1;30;38;63
c924d1abc6fe4ef85027175f1b72d666,UTILITY POLE;CULVERT;TREE,30;32;42
e17bf2555510fcc826cf08ad3fcb0d6a,FENCE;FIRE HYDRANT;Ran Off Road-Right,38;47;63
50c867b19864a5565686a9ca33e3ca30,MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED);Cargo Equip Loss/Shift,12;18;60
76d52e51cf9c424dd84135e64a00e19f,MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED);GUARDRAIL FACE,12;18;24
e30d979271909cf7594a0d5ace298b57,BUILDING;SHRUBBERY;TREE,19;41;42
eef5e22879f8fb3f6cd64167cb906d57,DITCH;FENCE;Ran Off Road-Left;Cross Center Line,34;38;64;68
a6a9002a425503ebc0a9a394f586e5ae,OTHER OBJECT (NOT FIXED);MAIL BOX;TREE,18;40;42
de16165bf0df05dc012b680f8d7433ce,GUARDRAIL FACE;Down Hill-Run Away,24;66
0e2cbfc4ddf014395dad7e2d7e3ca88e,H-WAY TRAFFIC SIGNAL POST;UTILITY POLE;WALL;Ran Off Road-Right,27;30;39;63
7ab14b2c716f02aa4fb596961177875d,PARKED MOTOR VEHICLE;OTHER POST; POLE; SUPP.;FENCE;Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Right;UNKNOWN MOST HARMFUL EVENT,14;31;38;55;63;99
f7761f597a6ede136e9bcdcacd248201,BOULDER;DITCH;FENCE;Ran Off Road-Right,17;34;38;63
c95bcb9ebf67f511a474e7a005cd4c91,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE;BUILDING;MAIL BOX,13;14;19;40
1d47b1fa9f49072c83bfbe2a611e3f6f,FENCE;WALL;EMBANKMENT ROCK/STONE/CONCRETE,1;38;39;72
953ca4079ece26253edca9f1484b8195,CULVERT;Ran Off Road-Left;Cross Center Line,32;64;68
eee8c0974595978739d0fbd4e2b84d2e,OTHER POST; POLE; SUPP.;DITCH;OTHER FIXED OBJECTS;Ran Off Road-Left,31;34;43;64
56311be678e10571c5edf85b1a4cf4c2,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE;FENCE;SHRUBBERY,13;14;38;41
01334b0895a70bd4f4fb7c0f84690c67,CURB;DITCH;MAIL BOX,1;33;34;40
f03eaa80dda244688409555a3553e6d0,PARKED MOTOR VEHICLE;Down Hill-Run Away,14;6;66
5142e0fba7e5abab61c33410ef0e452c,MOTOR VEHICLE IN TRANSPORT;Cable Barrier;Ran Off Road-Left,12;57;64
3500116ea31168449dc0a633a3661709,CULVERT;DITCH,32;34;7
95c2b342dd36166074c41a8360964a7a,PARKED MOTOR VEHICLE;MAIL BOX;Ran Off Road-Right,14;40;63
582fa8c48684be781eb20d0862edeed0,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY,13;9
83da9e34e060334699065bd0dd143bec,H-WAY TRAFFIC SIGNAL POST;OTHER FIXED OBJECTS;FIRE HYDRANT,27;43;47
03b307d8c48c15d1de60d0345413dd67,OTHER OBJECT (NOT FIXED);MAIL BOX,18;40;7
74f43c49b7226920f2d24f69228cec94,UTILITY POLE;CURB;DITCH;Ran Off Road-Right,1;30;33;34;63
31490e1f6d7685ea858d1efd11878fc5,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;CURB;DITCH,1;12;24;33;34
dee8700bf96e1d91e9b43c74524e26d6,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;Ran Off Road-Left,12;30;64
8c6069854df7e5bf808357ff48a08fd4,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;DITCH;Cross Median;EMBANKMENT EARTH,12;24;34;65;71
020c175b2326a3664020a36975570c88,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;Set In Motion By Motor Vehicle;Motor Vehicle-In-Motion Outside Trafficw;PEDESTRIAN,12;14;54;55;8
46f89de6d41b57b989d9e59405c8907f,GUARDRAIL FACE;TREE,1;24;42
34cfebf81d01e4d6d30e4f2af20c838f,OTHER OBJECT (NOT FIXED);DITCH;DEER (ANIMAL),18;34;50
410c4f0abc22f2ef58cf6862147c8eba,MOTOR VEHICLE IN TRANSPORT;MAIL BOX;OTHER FIXED OBJECTS;Ran Off Road-Right,12;40;43;63
a9d7c964f4b893b97a3bd30fccd337b0,MOTOR VEHICLE IN TRANSPORT;DITCH;CONCRETE TRAFFIC BARRIER,12;34;36
ee0b7d4b73cbac8721429b16c648bb23,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE,12;30;6
8fc37ee3123b0a30b002534a2f4f3272,WALL;FIRE HYDRANT,39;47
d644ffd66f0808bde520693d1db33f4d,MOTOR VEHICLE IN TRANSPORT;UTILITY POLE;UNKNOWN MOST HARMFUL EVENT,12;30;7;99
8e5d9e7e79fd068b94899e79d93f1916,WALL;Ran Off Road-Right;Ran Off Road-Left,39;63;64
a83eec1d08f7051dd6afe9824c61b51e,GUARDRAIL FACE;DITCH,1;2;24;34
5a4a29bf6243be71ad45fd5ce3d174af,SHRUBBERY;Ran Off Road-Left;Cross Center Line,2;41;64;68
c7a51a9ab6b023ed0047273d2bf04f21,OTHER OBJECT (NOT FIXED);GUARDRAIL FACE;DITCH;OTHER FIXED OBJECTS,18;24;34;43
96611a59563e4185ce6958a6fa37e41d,FENCE;MAIL BOX;Ran Off Road-Right,38;40;63
e3598f96abdebcf0ad518c8f496c5e5b,BUILDING;UTILITY POLE;Motor Vehicle-In-Motion Outside Trafficw,19;30;55
6ee3ecd0b3665e2acd6773c9d5e86b5b,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;Equip Failure,13;61
c707176c9bb999227357deba990c00b3,OTHER ANIMAL;MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED),11;12;18
d0d04c38094d0f0f8e46e414ad138540,PARKED MOTOR VEHICLE;UTILITY POLE;Set In Motion By Motor Vehicle;PEDESTRIAN,14;30;54;8
285d24fd5f09f13ecca5335bf614569a,UTILITY POLE;OTHER POST; POLE; SUPP.;MAIL BOX;Ran Off Road-Right,30;31;40;63
55edc74277c5a25526faf31a6bad2f5f,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;WORKING MOTOR VEHICLE,12;14;45
5db5b5529eef8a96e8f5cc052954fafb,GUARDRAIL END;CURB;WALL;Ran Off Road-Right,1;25;33;39;63
ef470836c44afd5944cbe8bcdc182f83,PARKED MOTOR VEHICLE;OTHER FIXED OBJECTS;Motor Vehicle-In-Motion Outside Trafficw,14;43;55
2596bb4cfcb966aca3414a3ccb7154b9,TREE;Ran Off Road-Left,42;64;7
0d80ef1ca0a40856839b204c423c17e1,DITCH;FENCE;TREE,1;34;38;42
f071de81cca14a308ab2647cb2fd2f20,CURB;WALL;Ran Off Road-Left,33;39;64
9114cb0689e7d1b445dcecce018044a1,TREE;Set In Motion By Motor Vehicle;Ran Off Road-Right;EMBANKMENT EARTH,42;54;63;71
ee57d4747db8406d0a387570dd91abe2,H-WAY TRAFFIC SIGNAL POST;DITCH;Ran Off Road-Left,27;34;64
d0b8088a188d917e28f87df9315860f5,GUARDRAIL END;OTHER POST; POLE; SUPP.;WALL;Ran Off Road-Right;Vehicle Airborne,1;25;31;39;63;67
