HARMFUL_SK,HARMFUL_DESCRIPTIONS,HARMFUL_CODES
79959c36ecaf6f88d4365a5404eacaa9,OTHER FIXED OBJECTS,1;43
68fb78a28efb2ed3c83eb894598ffda3,FENCE;FIRE HYDRANT,38;47
4d5a03282b0890d4d7d3ee0769cea063,DITCH;FENCE;Ran Off Road-Right,34;38;63
39ba9e4b6c6d134d2d94ca74c7fe8533,MOTOR VEHICLE IN TRANSPORT;BUILDING,12;19
0f8e25261c9bf91c4475a4dedd481c60,Ran Off Road-Right;EMBANKMENT ROCK/STONE/CONCRETE,1;63;72
7570669ec0199c3cd0b8f28823a73a47,BRIDGE PIER/ABUTMENT,21
15c2ea43f24e4ef6d1eb3763ac28a3bb,PARKED MOTOR VEHICLE;BUILDING;Down Hill-Run Away,14;19;66
5942af1f6ea541395fa9b55f47a45d6c,H-WAY TRAFFIC SIGNAL POST;MAIL BOX;Ran Off Road-Right,27;40;63
3006645d8f3f56320342861e2fc68fdd,FENCE;EMBANKMENT EARTH,38;71
73f994486cf0fa68fea535f0a031b2f9,DITCH;MAIL BOX,1;34;40
5d9de42a261fe5be12d98ea1736a8442,WALL;Ran Off Road-Left,1;39;64
ed9beeabb9af0d646ae8602568cd04cd,CURB;SHRUBBERY,33;41
4c6e4c4e326ac6a033222db0f92a1f3c,UTILITY POLE;DITCH,30;34
e2b015e2a85accd10d16d67682c1d7dd,EMBANKMENT ROCK/STONE/CONCRETE,1;72
865d260e888daf4bfcf76c56d78b9c1d,MAIL BOX;EMBANKMENT EARTH,40;71
472219e565b8d11e5ecebbd8d6b34826,CURB;DITCH;OTHER FIXED OBJECTS;Ran Off Road-Right,33;34;43;63
16e1c7085a445ea606800b8787576e81,MOTOR VEHICLE IN TRANSPORT;FENCE;FIRE HYDRANT;Ran Off Road-Left,12;38;47;64
1068fc69272e6fe884a4e6dcdcff08fb,DITCH;Ran Off Road-Left,34;64
96022bc373b24e5e15c7944e2ead0561,FIRE HYDRANT,47;7
5c8b13e8843e9ce03eebc8a18e822944,UTILITY POLE;MAIL BOX;Ran Off Road-Right,30;40;63
aed64e5f02be66e14fb8fc94f410f147,GUARDRAIL FACE;Ran Off Road-Left,24;64
ce47590d007615e57c426faacba8b882,CURB,33;9
9612343d3e76f973cf216e534692da5a,UTILITY POLE;CURB,30;33
369d35b5162f64856b684845666e234e,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY,1;13
81e7c711e408c310dadf0b7c8df3cca8,FENCE;MAIL BOX,38;40
0aa7332df1d90bc428e27bf3910018bf,WALL;Ran Off Road-Left;Cross Center Line;EMBANKMENT EARTH,39;64;68;71
82f8efe9921e36442caab9755fd39cca,Other Traffic Barrier,37
6137d38f982d937e76d48781f5001b5d,MOTOR VEHICLE IN TRANSPORT,1;12;6
029460df82d038e537bf0ef952597afb,MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;EMBANKMENT EARTH,1;12;24;71
59756dc297d1e67f7e1d53fbe5d6ecd2,CONCRETE TRAFFIC BARRIER;Equip Failure,36;61
80dc958343bf24316677536679d6e62c,CURB;OTHER FIXED OBJECTS,1;33;43
bcca5adc31d56538fc715b3de4e98e75,UTILITY POLE;DITCH;TREE,30;34;42
6d3cf7321b24beabab6054e5b8327feb,IMPACT ATTENUATOR,20
1ea6fb83e603a0957f7bf470bc785e70,LUMINAIRE/LIGHT SUPPORT;MAIL BOX;Ran Off Road-Left,29;40;64
39dcb20cd17db42aeb8ada0c36834b60,CULVERT;Ran Off Road-Right,32;6;63
af8b4423e64e77e4bb521100b7b38225,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;CURB,12;14;33
74467e37f5aab583a22d4cd3e832e362,BUILDING;PEDESTRIAN,19;8
b64ecb7d19468e243fb3a0f58a17bc2f,GUARDRAIL FACE,24;7
28df067ac188485d748b155a85415665,MOTOR VEHICLE IN TRANSPORT;PEDESTRIAN,12;8
b0d22954a62f2f82e2650e2f4dd56b05,CURB;EMBANKMENT EARTH,1;33;71
dee4a32f6154061b51dda651ca7f86ec,OTHER OBJECT (NOT FIXED);Cross Center Line,18;68
786d7e46b72ca2fdcbbd734537f54cc7,TREE;EMBANKMENT EARTH,42;71
af6291e1ffc58feff64fa5cff559df4e,OTHER OBJECT (NOT FIXED);UTILITY POLE,18;30
1386e390937a0c27abd172265711693a,DITCH;PAVED SURFACE-IRREGULAR;Ran Off Road-Left,1;34;44;64
dfeba587a3379f814e07c45a83250b0d,WALL;Equip Failure,39;61
446402c8555805b7ff7f8c4f4dafd2e7,MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;PARKED MOTOR VEHICLE;UTILITY POLE;FENCE,13;14;30;38
a7f2d52309dc2a5f8995723e01f60936,GUARDRAIL FACE;PAVED SURFACE-IRREGULAR;Ran Off Road-Left,24;44;64
6a2691fc80a24a84945c9e3284f64247,DITCH;FIRE HYDRANT;Ran Off Road-Right,34;47;63
0a41ad12f7c0fba86097c47dfac2d0f0,UTILITY POLE;EMBANKMENT EARTH,1;30;71
f9ceb144bfde91f175e4db21f5383e05,MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;DITCH,12;13;34
a03b21ae6569c442f396b0725933d5ff,DITCH;CONCRETE TRAFFIC BARRIER,34;36
50cb943af17bc3c5f2e913b04a92fd65,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;OTHER FIXED OBJECTS,12;14;43
2db0ecc691d1826bf7fda34a2db3b9c1,SHRUBBERY,1;41
03963bb592c94167be1f832667437c90,DITCH;UNKNOWN MOST HARMFUL EVENT,34;99
c930380f3873cc468399c02b3daad81a,GUARDRAIL FACE;SHRUBBERY;TREE;Ran Off Road-Right,24;41;42;63
7659e44c2df7f4d240ba210c436f7e87,CURB;FIRE HYDRANT,33;47
49ef65f3921042b0f1f4d270986ca714,Ran Off Road-Right;EMBANKMENT EARTH,1;63;71
d1a6e345c96df7ee5f0aa16067dfeae1,TREE;OTHER FIXED OBJECTS,42;43
e494b0b0e64aa742feaface7b38f4a18,SHRUBBERY;TREE;DEER (ANIMAL),41;42;50
eda4a47685325ac1c83509ffdaf363d1,DITCH,1;34
6125ff79cf6be94fae86f73b844de59f,MOTOR VEHICLE IN TRANSPORT;SHRUBBERY;TREE,1;12;41;42
55eba34d6f286cc92a33b6431c17279e,BOULDER,1;17
8eae8bb59752c17b252b0a69bf2e0fe2,GUARDRAIL FACE;UNKNOWN MOST HARMFUL EVENT,24;7;99
0ef0d8af506e44f5c96851711d6c9f53,MOTOR VEHICLE IN TRANSPORT;H-WAY TRAFFIC SIGNAL POST,12;27
9b20331dfcc05942f8aefc08fb5b08d2,BUILDING,19
60e1a97f5bd601621bdd9b1b25b3cb6a,OTHER POST; POLE; SUPP.,31
c740b6c42639f644a9bb2609b474b4a0,MOTOR VEHICLE IN TRANSPORT;CURB,12;33;7
46d82b16382cf3809e134050e517bd30,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE;CONCRETE TRAFFIC BARRIER,12;14;36
d587a82faabf6c25863b43f3262e0574,OTHER ANIMAL,11
9d3c4ae90a4941f7d77f0f91f2c8055b,MOTOR VEHICLE IN TRANSPORT;TREE;Ran Off Road-Right,1;12;42;63
0426da33856c14cd13957163a45804ba,UTILITY POLE;Ran Off Road-Left,30;64
97f361d7ccc860b96ad0c23ea0a9e01c,DITCH;WALL,34;39
8592a169e061dffc0519a3d6d34f378d,OTHER FIXED OBJECTS;SNOW BANK,43;48
399c907b317d4130b5aba83e5be96eda,GUARDRAIL FACE;CONCRETE TRAFFIC BARRIER,24;36
cd8647b9323000d91d92ab57bf5c8c75,PARKED MOTOR VEHICLE;BUILDING;Motor Vehicle-In-Motion Outside Trafficw,14;19;55
7a1a7e064199e44c40ebda8b85f4e5e7,WALL;Ran Off Road-Right,39;63
88b7749bc1f9f9b7b9abfcf3375ad6b5,OTHER OBJECT (NOT FIXED);WALL,18;39
d50d7d55432f7afa76432e4dbf99221e,DITCH;Ran Off Road-Right,1;34;63
cbcaba235d920f3a36b8ebc4613ad680,MOTOR VEHICLE IN TRANSPORT;DITCH;WALL,12;34;39
00e8c5b6165a83d2a0cb6e37600521f3,GUARDRAIL FACE;TREE;Ran Off Road-Right,24;42;63
87f4e218103b512bb421487e069ab2e1,Ran Off Road-Right,1;63
ee305aac19eb58b096238ff3437d71f2,CONCRETE TRAFFIC BARRIER;Ran Off Road-Left,36;64
725165a1529d7fe148973efdf35ef71b,OTHER FIXED OBJECTS;Ran Off Road-Left,43;64
7fc2caa840dc9259ae56cec402cb6e30,CULVERT;MAIL BOX;Ran Off Road-Left,1;32;40;64
cd90a137e6d838020fd954a332b308a2,BUILDING;Ran Off Road-Left,19;64
181b713391a04744ede6e76ac2a08bb1,GUARDRAIL END,25
b2fc88447b0f09aa6045a3f616d1e17e,MOTOR VEHICLE IN TRANSPORT,12;6
ac705129edd8990a3fd8474756f734fb,BUILDING;H-WAY TRAFFIC SIGNAL POST;MAIL BOX,19;27;40
583ce94143d32fe9512dbbc7660818a6,DITCH;EMBANKMENT ROCK/STONE/CONCRETE,34;72
